n,wr,roi,pnl,min_edge,max_edge,min_fair,n_2023,wr_2023,roi_2023,n_2024,wr_2024,roi_2024,n_2025,wr_2025,roi_2025
337,0.5281899109792285,-0.03863980819391275,-13.021615361348598,0.03,0.25,0.5,59,0.4915254237288136,-0.12601896526863157,104,0.5288461538461539,-0.020752841924822744,174,0.5402298850574713,-0.019702303737458425
427,0.5292740046838408,-0.038733509143148034,-16.53920840412421,0.02,0.25,0.5,85,0.5176470588235295,-0.07845415530526989,139,0.5467625899280576,0.007941114616262715,203,0.5221674876847291,-0.05406118293023048
770,0.4922077922077922,-0.039411934575930334,-30.347189623466356,0.03,0.1,0.4,241,0.45228215767634855,-0.09961740229866672,264,0.4696969696969697,-0.08234669553110453,265,0.5509433962264151,0.058113705474429934
770,0.4922077922077922,-0.039411934575930334,-30.347189623466356,0.03,0.1,0.35,241,0.45228215767634855,-0.09961740229866672,264,0.4696969696969697,-0.08234669553110453,265,0.5509433962264151,0.058113705474429934
758,0.5052770448548812,-0.039771976183484666,-30.147157947081375,0.02,0.1,0.45,214,0.45794392523364486,-0.1287118218186348,275,0.5127272727272727,-0.01718270436667887,269,0.5353159851301115,0.007890020903134445
906,0.5011037527593819,-0.041813140446721894,-37.88270524473003,0.02,0.25,0.45,240,0.4583333333333333,-0.12299347944509356,311,0.5112540192926045,-0.012592798810160644,355,0.5211267605633803,-0.01252932323365523
641,0.500780031201248,-0.042491977676588515,-27.237357690693237,0.03,0.1,0.45,178,0.449438202247191,-0.13614023607418863,228,0.49122807017543857,-0.05177424394829648,235,0.548936170212766,0.037447370003080585
569,0.507908611599297,-0.04359777555249047,-24.807134289367077,0.02,0.07,0.45,162,0.46296296296296297,-0.12513984167778058,218,0.5229357798165137,-0.0010830797530269737,189,0.5291005291005291,-0.022742690748183796
789,0.4968314321926489,-0.04432560835024321,-34.972904988341895,0.03,0.25,0.45,204,0.45098039215686275,-0.12846601577862835,264,0.49242424242424243,-0.0416501679899048,321,0.5295950155763239,0.006946437943405478
594,0.5033670033670034,-0.04791605099220046,-28.462134289367075,0.02,0.07,0.4,176,0.4772727272727273,-0.08538439972613893,226,0.5088495575221239,-0.02715093533699064,192,0.5208333333333334,-0.03801233620524343
594,0.5033670033670034,-0.04791605099220046,-28.462134289367075,0.02,0.07,0.35,176,0.4772727272727273,-0.08538439972613893,226,0.5088495575221239,-0.02715093533699064,192,0.5208333333333334,-0.03801233620524343
192,0.5208333333333334,-0.048021075355032555,-9.22004646816625,0.05,0.15,0.5,38,0.5,-0.09678649120372514,51,0.5294117647058824,-0.010170928502291902,103,0.5242718446601942,-0.04877128591075543
452,0.5022123893805309,-0.048445429276502076,-21.89733403297894,0.03,0.07,0.45,126,0.4523809523809524,-0.13461338495093791,171,0.49707602339181284,-0.04278008950605141,155,0.5483870967741935,0.015350630815316317
193,0.5181347150259067,-0.05295360864334846,-10.220046468166252,0.05,0.25,0.5,39,0.48717948717948717,-0.11994581194209118,51,0.5294117647058824,-0.010170928502291902,103,0.5242718446601942,-0.04877128591075543
477,0.4968553459119497,-0.0535688344506896,-25.55233403297894,0.03,0.07,0.4,140,0.4714285714285714,-0.08368776074155841,179,0.48044692737430167,-0.07382902405326697,158,0.5379746835443038,-0.00392817863054412
477,0.4968553459119497,-0.0535688344506896,-25.55233403297894,0.03,0.07,0.35,140,0.4714285714285714,-0.08368776074155841,179,0.48044692737430167,-0.07382902405326697,158,0.5379746835443038,-0.00392817863054412
