date,matchup,pick,tier,pick_prob,bucket,pick_team_xwoba,opp_xwoba,gap_pickside,won_scoreboard,home_score,away_score
2026-05-12,PHI @ BOS,PHI,SKIP,0.5553,win,0.3053,0.3991,-0.0938,True,1,2
2026-05-12,TB @ TOR,TB,GOLD,0.5261,win,0.3631,0.23,0.1331,True,6,7
2026-05-12,DET @ NYM,DET,SKIP,0.5193,bad_read,0.3002,0.3508,-0.0506,False,10,2
2026-05-12,CHC @ ATL,ATL,GOLD,0.6413,win,0.4396,0.3177,0.1219,True,5,2
2026-05-12,MIA @ MIN,MIA,SKIP,0.5643,bad_read,0.114,0.3383,-0.2243,False,3,0
2026-05-12,SD @ MIL,MIL,SKIP,0.5931,win,0.2516,0.2759,-0.0243,True,6,4
2026-05-12,SEA @ HOU,HOU,GOLD,0.6503,bad_read,0.2357,0.4963,-0.2606,False,2,10
2026-05-12,STL @ OAK,OAK,GOLD,0.5338,bad_beat,0.3386,0.302,0.0366,False,4,6
2026-05-12,SF @ LAD,LAD,PLATINUM,0.8599,bad_beat,0.3243,0.2598,0.0645,False,2,6
2026-05-13,NYY @ BAL,NYY,PLATINUM,0.7613,bad_read,0.2343,0.2942,-0.0599,False,7,0
2026-05-13,LAA @ CLE,CLE,SKIP,0.6414,win,0.3442,0.2427,0.1015,True,4,2
2026-05-13,COL @ PIT,PIT,PLATINUM,0.511,bad_read,0.2901,0.4184,-0.1283,False,4,10
2026-05-13,PHI @ BOS,PHI,SKIP,0.7585,bad_read,0.2894,0.3193,-0.0299,False,3,1
2026-05-13,TB @ TOR,TB,GOLD,0.5313,win,0.2681,0.4097,-0.1416,True,1,3
2026-05-13,DET @ NYM,DET,GOLD,0.5253,null_zone,0.2669,0.2709,-0.004,False,2,2
2026-05-13,CHC @ ATL,CHC,GOLD,0.517,bad_read,0.2463,0.3085,-0.0622,False,4,1
2026-05-13,KC @ CHW,CHW,GOLD,0.6683,win,0.4504,0.3925,0.0579,True,6,5
2026-05-13,MIA @ MIN,MIN,SKIP,0.5786,null_zone,0.3412,0.3519,-0.0107,False,5,9
2026-05-13,SD @ MIL,MIL,GOLD,0.6533,bad_beat,0.2431,0.2061,0.037,False,1,3
2026-05-13,STL @ OAK,OAK,GOLD,0.5413,win,0.3886,0.3255,0.0631,True,6,2
2026-05-13,SF @ LAD,LAD,PLATINUM,0.8395,win,0.3758,0.2892,0.0866,True,4,0
2026-05-14,COL @ PIT,PIT,GOLD,0.5291,win,0.2987,0.2933,0.0054,True,7,2
2026-05-14,WSH @ CIN,WSH,SKIP,0.5089,bad_read,0.2248,0.43,-0.2052,False,15,1
2026-05-14,DET @ NYM,DET,GOLD,0.5391,bad_read,0.4018,0.5713,-0.1695,False,9,4
2026-05-14,SD @ MIL,SD,SKIP,0.5076,bad_read,0.2481,0.3224,-0.0743,False,7,1
2026-05-14,SEA @ HOU,HOU,PLATINUM,0.6503,null_zone,0.35,0.3517,-0.0017,False,3,8
2026-05-14,STL @ OAK,STL,SKIP,0.5093,win,0.3671,0.4328,-0.0657,True,4,5
2026-05-14,PHI @ BOS,PHI,GOLD,0.5553,win,0.2512,0.2416,0.0096,True,1,3
2026-05-14,CHC @ ATL,ATL,GOLD,0.5108,bad_read,0.2175,0.3148,-0.0973,False,0,2
2026-05-14,KC @ CHW,KC,PLATINUM,0.5088,bad_read,0.3034,0.3678,-0.0644,False,6,2
2026-05-14,SF @ LAD,LAD,SKIP,0.7588,win,0.3524,0.1837,0.1687,True,5,2
2026-05-15,PHI @ PIT,PIT,GOLD,0.5146,bad_read,0.368,0.4328,-0.0648,False,9,11
2026-05-15,BAL @ WSH,WSH,GOLD,0.5473,win,0.3705,0.3862,-0.0157,True,3,2
