game_pk,game_date,home_team,away_team,home_xwoba,away_xwoba,home_score,away_score,n_pa_home,n_pa_away,source_pulled_at
823629,2026-05-15,NYM,NYY,0.2902,0.3185,2,5,34,40,2026-05-28T05:28:26+00:00
823707,2026-05-15,MIN,MIL,0.2705,0.2909,2,3,34,37,2026-05-28T05:28:26+00:00
824037,2026-05-15,LAA,LAD,0.2581,0.406,0,6,34,38,2026-05-28T05:28:26+00:00
824194,2026-05-15,HOU,TEX,0.351,0.2543,2,0,33,31,2026-05-28T05:28:26+00:00
824280,2026-05-15,DET,TOR,0.2477,0.2346,2,2,34,31,2026-05-28T05:28:26+00:00
824360,2026-05-15,COL,AZ,0.2716,0.3325,1,9,31,44,2026-05-28T05:28:26+00:00
824439,2026-05-15,CLE,CIN,0.3488,0.329,6,7,43,40,2026-05-28T05:28:26+00:00
824601,2026-05-15,CHW,CHC,0.4038,0.4101,5,10,37,48,2026-05-28T05:28:26+00:00
824925,2026-05-15,ATL,BOS,0.2709,0.2689,2,2,36,38,2026-05-28T05:28:26+00:00
825009,2026-05-15,OAK,SF,0.223,0.342,5,2,32,39,2026-05-28T05:28:26+00:00
822737,2026-05-16,WSH,BAL,0.408,0.3268,13,3,43,38,2026-05-28T05:28:26+00:00
822981,2026-05-16,TB,MIA,0.3042,0.3375,5,10,43,45,2026-05-28T05:28:26+00:00
823060,2026-05-16,STL,KC,0.231,0.4145,4,2,32,36,2026-05-28T05:28:26+00:00
823139,2026-05-16,SEA,SD,0.3254,0.3385,4,7,39,36,2026-05-28T05:28:26+00:00
823382,2026-05-16,PIT,PHI,0.2545,0.322,0,6,32,42,2026-05-28T05:28:26+00:00
823627,2026-05-16,NYM,NYY,0.2628,0.25,6,3,36,40,2026-05-28T05:28:26+00:00
823706,2026-05-16,MIN,MIL,0.2618,0.2791,1,2,35,36,2026-05-28T05:28:26+00:00
824038,2026-05-16,LAA,LAD,0.29,0.4018,2,15,39,48,2026-05-28T05:28:26+00:00
824193,2026-05-16,HOU,TEX,0.315,0.354,4,1,29,41,2026-05-28T05:28:26+00:00
824278,2026-05-16,DET,TOR,0.1891,0.1882,1,2,38,35,2026-05-28T05:28:26+00:00
824359,2026-05-16,COL,AZ,0.3219,0.4037,4,2,35,39,2026-05-28T05:28:26+00:00
824435,2026-05-16,CLE,CIN,0.3377,0.2855,7,4,42,35,2026-05-28T05:28:26+00:00
824600,2026-05-16,CHW,CHC,0.4406,0.253,8,3,33,36,2026-05-28T05:28:26+00:00
824924,2026-05-16,ATL,BOS,0.3443,0.2846,2,3,34,35,2026-05-28T05:28:26+00:00
